고객ID,고객등급,성별,연령대,지역,가입일,최근문의일,누적문의수,마케팅수신동의,이탈위험도
CUST-10337,SILVER,여,40대,경기,2021-03-15,2021-08-22,9,Y,낮음
CUST-10338,일반,여,50대,서울,2021-04-10,2022-01-03,3,N,보통
CUST-10339,SILVER,여,40대,경기,2021-06-17,2021-10-02,4,N,낮음
CUST-10340,SILVER,남,20대,경기,2020-03-13,2020-04-02,3,N,낮음
CUST-10341,일반,여,30대,경기,2022-07-21,2023-01-10,8,Y,보통
CUST-10342,일반,남,40대,경기,2022-09-22,2022-10-08,1,Y,낮음
CUST-10343,SILVER,남,30대,경기,2021-05-20,2021-06-18,8,N,낮음
CUST-10344,GOLD,남,20대,부산,2021-09-03,2022-01-07,16,N,낮음
CUST-10345,GOLD,여,40대,부산,2023-08-26,2023-10-09,19,Y,높음
CUST-10346,일반,여,30대,서울,2020-02-06,2021-01-15,5,Y,보통
CUST-10347,SILVER,남,20대,서울,2022-07-22,2023-06-15,1,Y,보통
CUST-10348,일반,남,30대,경기,2022-12-16,2023-11-11,3,N,높음
CUST-10349,SILVER,여,30대,대구,2023-07-27,2024-02-20,8,N,높음
CUST-10350,일반,여,30대,부산,2023-03-11,2023-07-29,3,Y,높음
CUST-10351,일반,남,30대,서울,2021-01-08,2022-01-03,1,N,낮음
CUST-10352,GOLD,남,30대,울산,2022-11-17,2023-03-21,9,N,보통
CUST-10353,GOLD,남,60대 이상,제주,2023-12-24,2024-09-01,11,N,보통
CUST-10354,일반,남,20대,서울,2021-02-15,2021-12-24,1,N,낮음
CUST-10355,SILVER,남,20대,충북,2023-09-30,2024-06-23,5,Y,낮음
CUST-10356,일반,남,60대 이상,울산,2021-12-05,2022-06-28,4,Y,낮음
CUST-10357,일반,여,30대,서울,2020-10-06,2021-03-16,4,N,낮음
CUST-10358,SILVER,남,30대,제주,2022-02-14,2022-08-02,8,Y,낮음
CUST-10359,VIP,남,30대,경기,2020-07-04,2021-01-19,11,N,낮음
CUST-10360,SILVER,남,20대,경북,2020-08-05,2021-02-01,1,N,보통
CUST-10361,일반,남,50대,경북,2023-03-04,2023-11-01,3,N,보통
CUST-10362,일반,여,40대,경기,2022-09-26,2023-01-19,1,N,보통
CUST-10363,SILVER,남,30대,경기,2021-03-29,2021-11-04,7,N,보통
CUST-10364,SILVER,남,40대,서울,2021-01-04,2021-09-08,12,N,낮음
CUST-10365,VIP,남,40대,강원,2022-06-01,2022-11-25,22,Y,보통
CUST-10366,일반,남,40대,서울,2022-02-24,2022-05-08,2,Y,낮음
CUST-10367,VIP,남,10대,경기,2023-11-08,2024-01-06,12,N,보통
CUST-10368,SILVER,여,40대,서울,2021-03-16,2022-02-04,2,Y,낮음
CUST-10369,SILVER,여,40대,서울,2021-06-18,2022-03-17,11,Y,낮음
CUST-10370,SILVER,남,30대,경기,2020-02-26,2020-06-14,1,N,보통
CUST-10371,일반,여,30대,광주,2023-05-07,2023-05-09,2,Y,낮음
CUST-10372,일반,여,60대 이상,경남,2021-03-24,2021-12-08,5,N,낮음
CUST-10373,GOLD,여,50대,서울,2021-07-25,2021-10-25,5,Y,보통
CUST-10374,일반,여,50대,서울,2021-11-10,2022-06-13,2,Y,낮음
CUST-10375,SILVER,남,20대,경남,2022-12-20,2023-02-05,4,Y,낮음
CUST-10376,일반,여,30대,경북,2020-10-15,2021-02-07,4,N,보통
CUST-10377,SILVER,여,50대,경기,2022-05-10,2023-05-08,11,Y,낮음
CUST-10378,SILVER,여,20대,강원,2023-09-29,2024-02-21,4,Y,낮음
CUST-10379,SILVER,여,50대,경기,2022-08-12,2023-02-14,1,N,높음
CUST-10380,일반,남,50대,제주,2023-07-29,2024-05-15,1,N,보통
CUST-10381,일반,여,40대,인천,2020-11-03,2021-10-15,6,Y,낮음
CUST-10382,일반,남,50대,인천,2020-12-04,2021-01-04,6,N,보통
CUST-10383,GOLD,여,40대,경기,2020-05-18,2021-01-12,14,Y,낮음
CUST-10384,VIP,여,40대,서울,2023-01-04,2023-07-29,26,Y,보통
CUST-10385,일반,남,40대,서울,2023-10-17,2024-02-07,1,N,보통
CUST-10386,일반,남,50대,충남,2023-12-20,2024-05-26,5,N,낮음
CUST-10387,VIP,여,50대,경기,2020-07-14,2021-06-22,17,N,낮음
CUST-10388,SILVER,남,40대,경북,2021-09-07,2021-12-05,2,N,보통
CUST-10389,GOLD,여,30대,경남,2022-04-13,2022-08-23,13,Y,높음
CUST-10390,SILVER,남,60대 이상,경기,2020-01-13,2020-01-21,4,Y,보통
CUST-10391,GOLD,남,50대,서울,2020-06-14,2021-02-12,13,Y,보통
CUST-10392,일반,여,50대,경기,2022-01-15,2022-12-24,2,N,보통
CUST-10393,일반,여,50대,전남,2021-05-15,2021-11-07,3,Y,낮음
CUST-10394,일반,남,20대,인천,2023-07-18,2023-10-22,3,N,낮음
CUST-10395,일반,남,30대,서울,2022-08-24,2023-01-15,6,N,낮음
CUST-10396,일반,여,30대,강원,2020-11-04,2020-11-25,4,Y,낮음
CUST-10397,GOLD,남,50대,인천,2021-06-09,2022-01-01,10,N,보통
CUST-10398,VIP,여,40대,경기,2020-06-14,2021-04-13,25,Y,낮음
CUST-10399,SILVER,남,30대,서울,2023-08-23,2023-10-05,3,N,낮음
CUST-10400,GOLD,남,50대,경기,2023-03-31,2023-06-10,11,N,낮음
CUST-10401,SILVER,여,40대,서울,2020-01-16,2020-07-20,1,Y,보통
CUST-10402,GOLD,여,40대,경기,2022-02-26,2022-08-19,5,Y,낮음
CUST-10403,GOLD,남,40대,제주,2021-07-08,2021-10-08,12,N,높음
CUST-10404,일반,남,30대,경기,2023-02-05,2023-08-14,1,Y,보통
CUST-10405,GOLD,남,50대,서울,2020-10-31,2021-06-22,12,Y,낮음
CUST-10406,VIP,여,20대,강원,2020-10-14,2021-09-28,16,N,높음
CUST-10407,일반,여,50대,대구,2023-11-18,2024-03-19,3,N,낮음
CUST-10408,일반,남,60대 이상,경기,2022-01-08,2022-10-15,4,Y,낮음
CUST-10409,일반,여,30대,충남,2023-02-02,2024-01-09,5,N,보통
CUST-10410,SILVER,여,60대 이상,서울,2023-11-08,2024-06-01,7,N,낮음
CUST-10411,SILVER,남,20대,전북,2020-03-06,2020-10-12,2,N,낮음
CUST-10412,일반,여,20대,대구,2020-08-13,2021-01-02,4,Y,보통
CUST-10413,SILVER,남,30대,제주,2020-10-16,2020-12-12,11,N,보통
CUST-10414,SILVER,여,40대,경기,2023-07-30,2024-04-09,7,N,보통
CUST-10415,GOLD,남,30대,전북,2022-12-05,2023-07-04,1,Y,높음
CUST-10416,일반,남,30대,서울,2022-07-22,2023-03-18,1,Y,높음
CUST-10417,일반,남,20대,강원,2022-01-08,2022-08-12,3,Y,낮음
CUST-10418,VIP,남,40대,서울,2022-09-07,2023-02-18,17,Y,낮음
CUST-10419,SILVER,여,20대,경기,2022-06-23,2022-12-29,15,N,낮음
CUST-10420,SILVER,여,20대,충북,2022-07-07,2022-09-22,4,N,낮음
CUST-10421,SILVER,여,30대,부산,2023-01-11,2023-08-28,5,N,낮음
CUST-10422,일반,남,60대 이상,부산,2022-02-17,2022-06-19,4,N,높음
CUST-10423,일반,여,30대,서울,2023-06-10,2024-04-02,1,Y,보통
CUST-10424,GOLD,남,50대,경북,2021-07-13,2021-08-30,17,Y,낮음
CUST-10425,SILVER,남,30대,서울,2020-04-20,2020-07-04,5,Y,보통
CUST-10426,일반,남,20대,경기,2022-12-26,2023-06-24,1,N,높음
CUST-10427,VIP,여,30대,강원,2021-01-25,2021-06-07,15,Y,보통
CUST-10428,SILVER,여,60대 이상,전남,2020-12-14,2021-08-25,10,N,보통
CUST-10429,일반,여,20대,인천,2021-09-12,2022-01-20,3,N,낮음
CUST-10430,SILVER,여,40대,서울,2020-12-10,2021-01-25,1,N,보통
CUST-10431,SILVER,남,20대,충남,2023-06-30,2024-03-28,7,Y,보통
CUST-10432,SILVER,여,10대,서울,2023-01-21,2023-05-17,4,N,낮음
CUST-10433,일반,남,20대,서울,2023-06-09,2023-11-26,3,Y,보통
CUST-10434,일반,남,30대,부산,2023-03-12,2024-03-11,1,N,높음
CUST-10435,SILVER,남,60대 이상,충남,2022-02-21,2022-09-04,9,N,낮음
CUST-10436,GOLD,남,30대,서울,2022-02-13,2022-12-02,17,N,낮음
CUST-10437,SILVER,여,30대,부산,2022-10-02,2023-01-02,6,Y,낮음
CUST-10438,SILVER,남,40대,대전,2020-04-13,2020-09-01,6,N,낮음
CUST-10439,GOLD,남,50대,경기,2023-06-06,2023-06-08,18,Y,낮음
CUST-10440,일반,남,30대,부산,2021-07-15,2022-02-22,3,N,낮음
CUST-10441,일반,남,30대,서울,2021-06-21,2022-02-09,2,Y,높음
CUST-10442,일반,여,20대,강원,2022-10-15,2022-10-17,2,N,보통
CUST-10443,GOLD,남,60대 이상,경기,2020-05-30,2020-09-05,14,N,보통
CUST-10444,일반,남,10대,서울,2021-09-29,2022-03-04,6,N,보통
CUST-10445,GOLD,남,30대,경기,2021-12-17,2022-06-07,9,Y,보통
CUST-10446,일반,남,20대,서울,2022-04-07,2022-08-18,2,N,보통
CUST-10447,SILVER,남,60대 이상,경기,2022-11-01,2023-04-23,9,Y,낮음
CUST-10448,SILVER,여,30대,인천,2023-08-23,2023-11-16,3,N,보통
CUST-10449,SILVER,여,50대,전북,2021-09-13,2022-02-28,2,N,낮음
CUST-10450,일반,남,40대,경기,2022-03-16,2022-11-08,1,N,보통
CUST-10451,SILVER,남,20대,경기,2020-09-14,2021-03-04,11,Y,낮음
CUST-10452,일반,남,20대,대전,2023-01-13,2023-04-09,1,Y,보통
CUST-10453,일반,여,30대,강원,2023-02-04,2024-01-18,2,N,낮음
CUST-10454,GOLD,남,40대,경기,2023-04-19,2023-07-15,3,Y,낮음
CUST-10455,SILVER,여,40대,전남,2023-10-05,2024-07-18,5,N,높음
CUST-10456,일반,남,40대,전남,2023-11-19,2024-07-04,2,N,낮음
CUST-10457,일반,여,30대,경기,2021-04-28,2021-05-10,2,N,낮음
CUST-10458,GOLD,여,60대 이상,충북,2022-02-28,2023-02-02,9,Y,보통
CUST-10459,SILVER,여,40대,서울,2020-08-07,2020-12-26,6,N,높음
CUST-10460,일반,여,50대,서울,2020-02-21,2020-04-20,2,N,낮음
CUST-10461,일반,여,40대,인천,2020-09-20,2020-12-07,2,N,보통
CUST-10462,일반,남,50대,서울,2022-05-04,2022-09-12,1,N,낮음
CUST-10463,SILVER,남,30대,전북,2021-07-07,2022-04-13,3,N,낮음
CUST-10464,일반,여,10대,전남,2020-08-15,2021-03-13,4,N,낮음
CUST-10465,일반,남,30대,대구,2022-12-26,2023-04-12,2,N,낮음
CUST-10466,GOLD,여,30대,강원,2020-01-01,2020-08-27,19,N,보통
CUST-10467,일반,남,40대,서울,2021-08-17,2022-06-19,2,N,높음
CUST-10468,일반,남,20대,전북,2021-06-06,2021-08-17,1,N,낮음
CUST-10469,일반,남,30대,인천,2021-02-24,2021-10-06,5,Y,높음
CUST-10470,SILVER,여,40대,충남,2021-12-27,2022-09-20,5,N,낮음
CUST-10471,SILVER,남,40대,경기,2020-03-05,2021-01-08,4,Y,높음
CUST-10472,일반,여,60대 이상,경북,2021-07-20,2022-05-09,2,N,보통
CUST-10473,일반,남,50대,서울,2023-08-03,2024-04-10,5,N,낮음
CUST-10474,GOLD,여,30대,충남,2021-06-08,2021-10-19,12,Y,보통
CUST-10475,일반,남,30대,경기,2020-07-07,2020-12-15,4,N,보통
CUST-10476,일반,남,30대,충남,2020-06-05,2021-03-26,5,N,낮음
CUST-10477,일반,남,40대,부산,2023-08-23,2024-01-30,3,Y,낮음
CUST-10478,SILVER,남,30대,경기,2021-01-03,2021-01-10,1,Y,낮음
CUST-10479,일반,남,30대,경남,2023-10-26,2024-04-03,3,Y,보통
CUST-10480,SILVER,여,30대,서울,2020-02-29,2020-12-28,11,N,보통
CUST-10481,일반,남,20대,경북,2023-08-19,2024-07-30,4,N,낮음
CUST-10482,일반,남,30대,경기,2021-06-19,2021-08-12,3,Y,보통
CUST-10483,GOLD,여,30대,서울,2023-06-15,2023-07-03,8,Y,보통
CUST-10484,일반,남,40대,부산,2022-01-14,2022-10-17,4,N,보통
CUST-10485,SILVER,남,40대,서울,2020-08-13,2020-09-09,1,N,낮음
CUST-10486,일반,남,30대,경남,2020-08-17,2021-07-02,5,N,낮음
CUST-10487,SILVER,여,50대,서울,2021-10-02,2022-01-17,11,Y,보통
CUST-10488,일반,여,60대 이상,서울,2020-01-05,2020-12-18,1,Y,보통
CUST-10489,일반,남,40대,부산,2023-01-26,2023-07-03,3,Y,낮음
CUST-10490,일반,남,30대,경기,2023-02-16,2023-12-03,1,N,낮음
CUST-10491,일반,남,40대,전남,2023-01-01,2023-11-13,2,N,낮음
CUST-10492,SILVER,남,40대,경기,2022-07-12,2022-12-31,3,Y,보통
CUST-10493,일반,남,50대,경기,2021-10-30,2022-02-06,1,Y,높음
CUST-10494,SILVER,남,10대,부산,2021-07-25,2022-01-26,7,Y,보통
CUST-10495,SILVER,남,60대 이상,충남,2022-08-14,2023-02-07,12,N,낮음
CUST-10496,SILVER,여,30대,경기,2021-01-22,2021-10-21,9,Y,보통
CUST-10497,일반,남,20대,전남,2023-05-23,2023-10-30,2,N,보통
CUST-10498,GOLD,여,40대,충북,2022-02-24,2022-06-27,20,N,보통
CUST-10499,GOLD,남,20대,경기,2021-12-24,2022-02-15,17,Y,보통
CUST-10500,SILVER,여,20대,경기,2021-08-14,2021-12-07,14,Y,낮음
CUST-10501,SILVER,남,30대,대전,2023-02-10,2024-01-15,4,N,보통
CUST-10502,일반,여,60대 이상,서울,2020-07-19,2020-11-12,4,Y,낮음
CUST-10503,일반,여,30대,전남,2021-11-28,2022-06-20,6,N,높음
CUST-10504,일반,남,30대,서울,2022-07-21,2023-06-15,1,Y,낮음
CUST-10505,일반,남,30대,경기,2022-01-18,2022-08-23,4,Y,보통
CUST-10506,일반,여,30대,경기,2022-05-23,2022-09-05,1,Y,보통
CUST-10507,SILVER,남,50대,경기,2020-10-08,2021-09-13,3,N,보통
CUST-10508,SILVER,여,40대,경기,2020-08-19,2020-12-21,6,Y,보통
CUST-10509,일반,여,30대,대구,2020-07-26,2021-06-19,3,N,낮음
CUST-10510,일반,여,30대,서울,2020-05-10,2020-10-07,6,N,높음
CUST-10511,SILVER,여,60대 이상,경기,2021-10-27,2022-07-01,6,Y,낮음
CUST-10512,VIP,여,50대,경북,2020-12-28,2021-05-19,20,Y,높음
CUST-10513,일반,여,40대,서울,2023-12-02,2024-11-28,1,Y,낮음
CUST-10514,SILVER,남,20대,경기,2022-11-21,2023-05-14,1,N,보통
CUST-10515,일반,남,30대,서울,2023-08-01,2024-07-02,1,Y,보통
CUST-10516,일반,남,20대,서울,2023-07-24,2024-01-06,4,N,보통
CUST-10517,일반,여,30대,경기,2023-12-12,2024-06-14,1,N,보통
CUST-10518,일반,여,50대,서울,2021-07-01,2022-04-07,6,N,보통
CUST-10519,VIP,여,60대 이상,경남,2020-07-14,2021-05-14,26,Y,보통
CUST-10520,SILVER,남,50대,대전,2023-12-29,2024-05-04,11,N,보통
CUST-10521,SILVER,여,50대,경기,2022-02-20,2023-02-07,5,N,높음
CUST-10522,SILVER,여,50대,인천,2023-07-29,2023-11-29,12,Y,낮음
CUST-10523,일반,여,40대,인천,2021-06-22,2022-06-08,2,N,낮음
CUST-10524,VIP,여,30대,광주,2020-12-22,2021-12-09,20,N,낮음
CUST-10525,SILVER,남,30대,부산,2021-12-19,2022-03-28,1,N,낮음
CUST-10526,SILVER,여,50대,서울,2021-02-18,2021-05-08,1,Y,낮음
CUST-10527,SILVER,남,40대,경기,2021-09-07,2021-11-21,3,Y,낮음
CUST-10528,일반,남,20대,경기,2021-09-18,2022-04-21,3,Y,보통
CUST-10529,SILVER,남,40대,서울,2021-11-01,2022-06-28,7,Y,보통
CUST-10530,SILVER,남,40대,강원,2023-05-23,2023-11-27,9,Y,낮음
CUST-10531,일반,남,20대,광주,2022-01-18,2022-10-07,3,Y,낮음
CUST-10532,일반,남,40대,경남,2020-10-13,2021-05-20,1,N,보통
CUST-10533,SILVER,여,20대,서울,2020-11-02,2021-06-06,3,N,낮음
CUST-10534,SILVER,여,60대 이상,서울,2021-11-11,2022-05-18,4,Y,낮음
CUST-10535,VIP,여,40대,경북,2023-03-11,2023-05-24,24,Y,보통
CUST-10536,GOLD,여,30대,서울,2021-02-07,2021-02-22,16,N,낮음
CUST-10537,일반,남,30대,경남,2021-01-19,2021-05-12,1,Y,낮음
CUST-10538,GOLD,여,40대,경기,2023-05-04,2023-09-24,3,N,보통
CUST-10539,일반,남,30대,광주,2022-08-14,2023-01-13,3,N,보통
CUST-10540,SILVER,여,40대,경기,2022-10-01,2022-11-25,11,Y,낮음
CUST-10541,SILVER,남,20대,대전,2020-02-27,2020-05-20,11,Y,보통
CUST-10542,일반,남,40대,서울,2021-12-22,2022-11-10,2,Y,보통
CUST-10543,VIP,여,20대,경기,2023-06-09,2023-12-21,18,Y,보통
CUST-10544,일반,여,60대 이상,서울,2020-07-03,2021-03-23,1,N,보통
CUST-10545,일반,남,30대,제주,2021-04-17,2021-11-23,5,Y,낮음
CUST-10546,VIP,여,40대,경기,2023-05-24,2023-06-02,18,N,보통
CUST-10547,SILVER,여,30대,전북,2023-12-04,2024-11-01,8,Y,낮음
CUST-10548,일반,여,20대,경기,2023-10-02,2023-11-08,3,N,보통
CUST-10549,일반,남,20대,경기,2021-04-19,2022-04-14,4,N,낮음
CUST-10550,GOLD,남,30대,대구,2023-08-02,2024-03-01,22,N,낮음
CUST-10551,GOLD,여,60대 이상,부산,2022-04-04,2022-07-01,11,Y,보통
CUST-10552,일반,여,20대,경기,2022-06-23,2022-10-21,3,Y,낮음
CUST-10553,SILVER,남,20대,전북,2023-09-04,2024-03-30,5,Y,낮음
CUST-10554,일반,남,50대,대구,2023-06-07,2024-04-06,2,N,높음
CUST-10555,일반,남,30대,경기,2023-12-31,2024-09-25,1,N,보통
CUST-10556,일반,남,30대,충북,2021-08-15,2021-10-11,1,N,높음
CUST-10557,일반,남,30대,경기,2020-02-18,2020-07-15,1,Y,낮음
CUST-10558,일반,여,40대,경기,2021-01-21,2021-01-26,3,N,높음
CUST-10559,SILVER,남,30대,대구,2023-09-15,2023-11-14,5,Y,낮음
CUST-10560,SILVER,남,40대,경남,2022-09-02,2023-02-28,9,Y,보통
CUST-10561,일반,여,20대,강원,2023-01-03,2023-10-21,2,N,높음
CUST-10562,일반,남,30대,경북,2020-11-28,2021-01-01,1,N,낮음
CUST-10563,일반,남,30대,서울,2023-04-09,2023-09-22,4,N,보통
CUST-10564,일반,여,50대,부산,2022-01-29,2022-11-14,7,Y,낮음
CUST-10565,일반,남,40대,서울,2023-09-26,2024-09-08,2,Y,높음
CUST-10566,GOLD,여,50대,서울,2020-11-12,2021-06-13,16,N,낮음
CUST-10567,GOLD,남,30대,경기,2020-05-16,2021-01-03,18,N,보통
CUST-10568,SILVER,남,50대,경북,2022-06-07,2023-05-13,1,Y,낮음
CUST-10569,일반,여,60대 이상,서울,2020-06-13,2020-12-18,1,N,낮음
CUST-10570,VIP,여,30대,서울,2023-10-10,2024-02-28,25,Y,높음
CUST-10571,일반,여,60대 이상,서울,2023-12-18,2024-05-23,1,N,낮음
CUST-10572,SILVER,남,50대,충북,2021-09-27,2022-01-15,1,Y,보통
CUST-10573,SILVER,남,30대,대구,2020-07-16,2020-11-10,7,N,낮음
CUST-10574,GOLD,여,30대,경기,2020-02-06,2020-08-11,25,Y,낮음
CUST-10575,SILVER,여,20대,서울,2023-12-17,2024-09-24,1,N,보통
CUST-10576,일반,여,60대 이상,경기,2023-06-25,2024-05-04,1,N,낮음
CUST-10577,SILVER,여,50대,광주,2021-11-11,2022-07-04,7,N,낮음
CUST-10578,일반,여,40대,서울,2023-05-05,2024-02-09,1,Y,보통
CUST-10579,일반,여,40대,인천,2020-02-24,2020-07-15,2,Y,낮음
CUST-10580,SILVER,여,40대,서울,2021-10-13,2022-02-13,4,Y,보통
CUST-10581,일반,여,20대,전북,2023-05-14,2024-01-30,2,N,낮음
CUST-10582,일반,남,40대,경기,2023-04-10,2023-08-20,2,N,높음
CUST-10583,VIP,여,40대,대전,2020-01-25,2020-11-02,13,N,보통
CUST-10584,SILVER,남,20대,서울,2022-09-17,2023-03-01,9,Y,높음
CUST-10585,일반,여,50대,부산,2021-12-03,2022-07-12,2,Y,낮음
CUST-10586,SILVER,여,20대,경기,2022-08-11,2022-12-03,3,N,높음
CUST-10587,일반,여,30대,서울,2023-11-17,2024-04-13,3,Y,보통
CUST-10588,GOLD,남,30대,서울,2020-02-12,2020-02-28,16,N,보통
CUST-10589,SILVER,여,60대 이상,충북,2020-08-10,2021-04-13,7,N,보통
CUST-10590,GOLD,남,30대,경기,2020-03-27,2020-10-13,14,N,보통
CUST-10591,SILVER,남,20대,서울,2020-09-09,2021-06-25,10,Y,낮음
CUST-10592,GOLD,여,40대,경기,2022-11-23,2023-09-27,1,Y,낮음
CUST-10593,SILVER,여,60대 이상,경기,2021-07-27,2022-01-21,1,N,낮음
CUST-10594,일반,여,40대,서울,2021-08-31,2021-10-10,1,N,높음
CUST-10595,SILVER,여,30대,인천,2022-07-28,2023-01-17,1,N,보통
CUST-10596,일반,여,20대,경기,2020-03-29,2020-12-01,3,Y,보통
CUST-10597,일반,여,40대,제주,2020-06-02,2020-09-29,3,N,보통
CUST-10598,SILVER,남,50대,인천,2023-05-16,2023-12-14,10,N,보통
CUST-10599,일반,여,30대,강원,2021-07-12,2022-06-08,2,N,낮음
CUST-10600,SILVER,여,10대,강원,2020-12-26,2021-12-06,1,N,낮음
CUST-10601,SILVER,남,40대,광주,2022-06-01,2023-05-11,11,N,낮음
CUST-10602,일반,여,60대 이상,서울,2023-04-26,2024-04-23,5,Y,낮음
CUST-10603,일반,여,60대 이상,서울,2022-03-08,2022-12-20,3,Y,보통
CUST-10604,SILVER,여,40대,경기,2021-06-07,2022-04-18,13,N,낮음
CUST-10605,SILVER,남,40대,대구,2023-10-20,2023-11-27,17,Y,보통
CUST-10606,일반,여,20대,서울,2022-08-31,2022-12-15,1,Y,보통
CUST-10607,일반,남,20대,인천,2021-01-05,2021-04-24,1,Y,낮음
CUST-10608,SILVER,남,20대,대구,2022-08-25,2023-07-08,9,N,높음
CUST-10609,일반,남,40대,서울,2022-11-19,2023-07-06,2,N,보통
CUST-10610,일반,남,50대,경북,2020-02-02,2020-05-21,4,Y,낮음
CUST-10611,VIP,여,40대,경기,2021-03-30,2021-05-28,28,Y,높음
CUST-10612,GOLD,여,50대,서울,2022-10-24,2023-04-18,8,Y,낮음
CUST-10613,일반,여,30대,충남,2020-04-10,2021-02-27,5,Y,높음
CUST-10614,일반,여,40대,전남,2021-10-07,2022-06-15,4,Y,보통
CUST-10615,GOLD,남,50대,광주,2021-11-26,2022-04-03,10,Y,높음
CUST-10616,SILVER,여,50대,부산,2023-05-21,2023-08-04,10,Y,보통
CUST-10617,일반,남,60대 이상,대전,2020-08-21,2020-12-10,9,Y,낮음
CUST-10618,SILVER,여,60대 이상,대전,2023-01-01,2023-07-30,9,N,보통
CUST-10619,SILVER,여,50대,인천,2021-07-22,2022-05-30,1,Y,보통
CUST-10620,일반,여,30대,대전,2021-07-07,2022-03-24,2,Y,낮음
CUST-10621,일반,여,30대,경남,2023-12-17,2023-12-18,2,Y,보통
CUST-10622,일반,여,30대,부산,2023-01-11,2023-03-09,1,N,낮음
CUST-10623,일반,남,30대,제주,2021-10-21,2022-03-17,4,N,낮음
CUST-10624,일반,남,30대,강원,2023-02-15,2023-04-28,6,N,보통
CUST-10625,일반,남,50대,부산,2022-05-30,2022-07-06,3,N,낮음
CUST-10626,SILVER,남,50대,인천,2022-09-17,2022-09-21,2,Y,보통
CUST-10627,일반,남,30대,경기,2021-07-21,2022-06-25,4,Y,낮음
CUST-10628,VIP,남,40대,경기,2021-05-04,2021-10-01,8,Y,낮음
CUST-10629,일반,여,30대,부산,2023-03-08,2024-02-03,4,N,낮음
CUST-10630,일반,여,60대 이상,강원,2023-06-05,2024-04-29,3,N,보통
CUST-10631,GOLD,남,40대,전남,2020-07-24,2020-10-16,8,N,보통
CUST-10632,SILVER,남,30대,서울,2021-08-22,2022-03-21,2,N,보통
CUST-10633,SILVER,여,40대,울산,2021-03-16,2021-05-30,7,N,보통
CUST-10634,GOLD,남,50대,경기,2023-12-30,2024-05-30,19,N,낮음
CUST-10635,SILVER,남,20대,대구,2021-11-09,2022-10-26,11,Y,낮음
CUST-10636,일반,여,10대,서울,2023-05-24,2023-07-05,3,Y,보통
CUST-10637,일반,여,40대,제주,2020-01-22,2020-11-02,3,N,낮음
CUST-10638,SILVER,남,10대,경기,2022-07-06,2023-01-12,5,N,보통
CUST-10639,GOLD,남,30대,전남,2020-12-06,2021-02-23,6,Y,보통
CUST-10640,일반,남,50대,서울,2023-03-09,2024-02-13,1,Y,낮음
CUST-10641,SILVER,남,40대,제주,2020-01-15,2020-09-03,11,N,낮음
CUST-10642,일반,남,20대,전북,2022-07-20,2022-11-30,1,Y,낮음
CUST-10643,일반,여,30대,인천,2022-01-01,2022-11-07,6,N,낮음
CUST-10644,SILVER,남,40대,서울,2021-03-02,2022-02-21,3,Y,낮음
CUST-10645,일반,여,50대,부산,2020-05-21,2020-11-25,1,N,낮음
CUST-10646,SILVER,여,40대,경기,2023-04-19,2023-04-25,3,N,높음
CUST-10647,일반,여,40대,전북,2020-05-19,2021-02-15,3,Y,낮음
CUST-10648,일반,남,40대,경기,2022-09-30,2023-05-30,2,Y,보통
CUST-10649,일반,남,20대,경기,2020-03-14,2020-08-20,4,Y,보통
CUST-10650,SILVER,여,50대,서울,2021-11-05,2022-02-20,14,Y,낮음
CUST-10651,일반,남,30대,제주,2023-06-13,2023-10-30,3,N,보통
CUST-10652,GOLD,남,60대 이상,서울,2020-04-30,2021-04-01,11,Y,보통
CUST-10653,일반,남,50대,강원,2023-05-08,2023-11-13,2,N,높음
CUST-10654,일반,남,60대 이상,경기,2023-11-10,2024-07-16,2,N,보통
CUST-10655,GOLD,여,30대,충북,2021-08-20,2022-04-16,21,Y,보통
CUST-10656,GOLD,남,50대,충북,2022-06-29,2023-06-24,19,N,보통
CUST-10657,일반,남,50대,대구,2023-11-09,2024-09-26,6,Y,낮음
CUST-10658,일반,여,40대,경기,2020-01-14,2020-09-19,3,N,낮음
CUST-10659,일반,여,30대,대구,2021-02-16,2021-05-16,1,Y,보통
CUST-10660,SILVER,남,50대,경기,2020-05-30,2021-01-01,6,N,낮음
CUST-10661,일반,남,30대,광주,2020-03-22,2020-07-09,2,N,낮음
CUST-10662,GOLD,여,50대,서울,2023-10-14,2024-05-10,20,N,보통
CUST-10663,GOLD,남,60대 이상,서울,2022-08-04,2022-08-31,16,N,높음
CUST-10664,일반,여,60대 이상,인천,2020-07-30,2021-01-15,1,N,낮음
CUST-10665,SILVER,여,30대,충남,2020-05-25,2021-04-03,1,N,낮음
CUST-10666,GOLD,여,30대,대구,2022-12-28,2023-02-12,10,Y,낮음
CUST-10667,일반,여,20대,경남,2021-08-28,2022-04-06,6,N,낮음
CUST-10668,SILVER,남,20대,충북,2023-01-05,2023-10-24,3,Y,낮음
CUST-10669,일반,여,30대,충남,2021-08-04,2021-11-07,3,N,낮음
CUST-10670,일반,남,30대,전북,2022-03-07,2022-09-01,3,Y,낮음
CUST-10671,SILVER,남,40대,경남,2022-06-04,2023-03-19,8,Y,낮음
CUST-10672,VIP,여,20대,강원,2020-12-16,2021-04-10,26,Y,낮음
CUST-10673,일반,남,20대,전북,2022-04-07,2023-01-16,1,N,보통
CUST-10674,SILVER,여,30대,서울,2021-11-30,2022-05-28,9,N,낮음
